bill,year,,support_spent,oppose_spent,neutral_spent,support_hhi,oppose_hhi,neutral_hhi
h01874,2011,187,0,0,5987.910064,,,0.446312017
h04305,2011,187,6156.415,989.9543836,480,0.651023354,0.692371579,1
h00780,2011,187,52481.33333,0,465.8993259,0.703954717,,0.652996631
h04421,2011,187,56.64731707,0,232.1428571,1,,1
h01876,2011,187,375,0,7137.620389,1,,0.330658584
h04268,2011,187,0,0,38.42213115,,,1
h03931,2011,187,0,0,857.1428571,,,1
s00979,2011,187,6879.410808,0,820.5704479,0.391477487,,0.520943088
h00782,2011,187,625,7307.24,4906.065213,1,0.705106307,0.477822471
h03943,2011,187,38.01,0,0,1,,
s00973,2011,187,3009.28,1172.083333,415.5832083,1,1,0.38399027
s00972,2011,187,3453.49,0,277.9248871,0.775836696,,0.761731251
s00971,2011,187,0,0,102.2024087,,,0.656013489
s00970,2011,187,0,0,464.0120392,,,0.639823031
s00977,2011,187,4456.989447,0,3093.114712,0.563428559,,0.431404147
s00975,2011,187,0,0,1227.826842,,,0.518995239
h00784,2011,187,0,0,954.1348113,,,0.423250301
h04304,2011,187,16143.32333,12250,499.8886653,0.301152046,1,0.452782208
s02133,2011,187,5809.047403,0,0,0.669258121,,
h03941,2011,187,4200,0,0,1,,
s02135,2011,187,0,1219.976822,0,,0.510235739,
h00787,2011,187,4357.63,11260.15435,600.0744048,0.401978785,1,0.503606969
s01282,2011,187,0,0,79.13808892,,,1
s02136,2011,187,1.327142857,0,26446.59312,1,,0.327758891
s02139,2011,187,10545.49214,0,18000,0.749847066,,1
h01873,2011,187,3000,0,13500,1,,1
h03930,2011,187,35958.69793,50337.80244,19298.64643,0.15613718,0.641274061,0.752141625
h03073,2011,187,39.76190476,0,0,1,,
h02138,2011,187,10056.05729,0,283.255814,0.532885094,,0.666092358
h01500,2011,187,142,0,0,1,,
h02878,2011,187,0,163.6904762,0,,1,
h01530,2011,187,3510.010097,0,1311.705027,0.77850922,,1
h02135,2011,187,7363.408602,1533.319953,2149.320036,0.99375209,1,0.394722495
s01622,2011,187,480,46.66666667,7650.597448,1,1,0.346135082
h02137,2011,187,6340.577002,3405.125901,104.5609651,0.992747887,0.30589257,0.500041077
h02130,2011,187,1587.516623,0,104.5609651,0.348900034,,0.500041077
h02131,2011,187,0,2175.268775,716.9150602,,0.517811625,0.336135957
h02132,2011,187,0,0,104.5609651,,,0.500041077
h02133,2011,187,0,0,12000,,,1
s02590,2011,187,96.775,0,0,1,,
h02484,2011,187,11714.28571,0,0,1,,
